state,date,type,sex,abs,rate,piped_water,sanitation,electricity,income_mean,gini,poverty_absolute,cpi
Johor,1970-01-01,,,,,,,,237,,45.7,
Johor,1974-01-01,,,,,,,,382,0.439,,
Johor,1976-01-01,,,,,,,,513,0.469,29,
Johor,1979-01-01,,,,,,,,731,0.442,18.2,
Johor,1984-01-01,,,,,,,,1065,0.404,12.2,
Johor,1987-01-01,,,,,,,,1060,0.386,11.1,
Johor,1989-01-01,,,,,,,,1150,0.381,10.1,
Johor,1992-01-01,,,,,,,,1713,0.423,5.6,
Johor,1995-01-01,,,,,,,,2138,0.399,3.1,
Johor,1997-01-01,,,,,,,,2772,0.397,1.6,
Johor,1999-01-01,,,,,,,,2646,0.386,2.5,
Johor,2002-01-01,,,,,,,,2963,0.408,1.8,
Johor,2004-01-01,,,,,,,,3076,0.395,2,
Johor,2005-01-01,,,,,,,,,,,104.3833333
Johor,2006-01-01,,,,,,,,,,,102.8916667
Johor,2007-01-01,,,,,,,,3457,0.368,1.5,101.65
Johor,2008-01-01,,,,,,,,,,,100.9833333
Johor,2009-01-01,,,,,,,,3835,0.393,1.3,100.5166667
Johor,2010-01-01,,,,,,,,,,,100.0083333
Johor,2011-01-01,,,,,,,,,,,99.725
Johor,2012-01-01,,,,,,,,4658,0.383,0.9,99.08333333
Johor,2013-01-01,,,,,,,,,,,98.41666667
Johor,2014-01-01,,,,,,,,6207,0.324,0,97.725
Johor,2015-01-01,,,,,,,,,,,99.63333333
Johor,2016-01-01,,,,,99.9,99.99,100,6928,0.354,0,98.05
Johor,2016-01-01,,,,,100,100,100,6928,0.354,0,98.05
Johor,2016-01-01,,,,,100,100,100,6928,0.354,0,98.05
Johor,2016-01-01,,,,,98.9,100,100,6928,0.354,0,98.05
Johor,2016-01-01,,,,,100,100,100,6928,0.354,0,98.05
Johor,2016-01-01,,,,,99.7,100,99.85,6928,0.354,0,98.05
Johor,2016-01-01,,,,,99.5,100,100,6928,0.354,0,98.05
Johor,2016-01-01,,,,,99.9,100,100,6928,0.354,0,98.05
Johor,2016-01-01,,,,,100,100,100,6928,0.354,0,98.05
Johor,2016-01-01,,,,,100,100,100,6928,0.354,0,98.05
Johor,2016-01-01,,,,,100,99.89,100,6928,0.354,0,98.05
Johor,2017-01-01,neonatal,female,123,4.17841492,,,,,,,97.725
Johor,2017-01-01,neonatal,both,274,4.485552918,,,,,,,97.725
Johor,2017-01-01,infant,female,187,6.352549513,,,,,,,97.725
Johor,2017-01-01,infant,male,226,7.141051567,,,,,,,97.725
Johor,2017-01-01,infant,both,413,6.761070639,,,,,,,97.725
Johor,2017-01-01,neonatal,male,151,4.771233569,,,,,,,97.725
Johor,2018-01-01,infant,both,422,6.9,,,,,,,96.01666667
Johor,2018-01-01,infant,male,221,7,,,,,,,96.01666667
Johor,2018-01-01,infant,female,201,6.8,,,,,,,96.01666667
Johor,2018-01-01,neonatal,both,265,4.3,,,,,,,96.01666667
Johor,2018-01-01,neonatal,male,139,4.4,,,,,,,96.01666667
Johor,2018-01-01,neonatal,female,126,4.3,,,,,,,96.01666667
Johor,2019-01-01,neonatal,male,130,4.195172325,98.8,98.98,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,98.8,98.98,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,98.8,98.98,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,98.8,98.98,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,99.9,99.9,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,99.8,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,male,130,4.195172325,99.8,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,99.8,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,99.8,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,99.8,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,99.8,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,male,130,4.195172325,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,male,130,4.195172325,99.9,99.9,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,99.9,99.9,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,99.9,99.9,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,99.9,99.9,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,98.8,98.98,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,male,130,4.195172325,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,98.8,98.98,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,male,130,4.195172325,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,male,130,4.195172325,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,98.3,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,male,130,4.195172325,98.3,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,98.3,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,98.3,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,98.3,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,98.3,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,male,130,4.195172325,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,99.5,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,male,130,4.195172325,99.5,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,99.5,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,99.5,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,99.5,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,99.5,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,99.9,99.9,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,female,106,3.641360357,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,male,130,4.195172325,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,neonatal,both,236,3.926919365,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,female,170,6.744546276,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,male,209,5.839917554,100,100,100,8013,0.366,3.9,96.4
Johor,2019-01-01,infant,both,379,6.306366268,100,100,100,8013,0.366,3.9,96.4
Johor,2020-01-01,infant,female,158,5.748380994,,,,7264,,5.9,97.5
Johor,2020-01-01,neonatal,female,109,3.965655243,,,,7264,,5.9,97.5
Johor,2020-01-01,neonatal,both,238,4.188665963,,,,7264,,5.9,97.5
Johor,2020-01-01,neonatal,male,129,4.397627327,,,,7264,,5.9,97.5
Johor,2020-01-01,infant,male,188,6.408945251,,,,7264,,5.9,97.5
Johor,2020-01-01,infant,both,346,6.089405139,,,,7264,,5.9,97.5
Johor,2021-01-01,neonatal,male,125,4.862299673,,,,,,,97.5
Johor,2021-01-01,neonatal,female,96,3.953545836,,,,,,,97.5
Johor,2021-01-01,infant,female,152,6.259780908,,,,,,,97.5
Johor,2021-01-01,neonatal,both,221,4.420884177,,,,,,,97.5
Johor,2021-01-01,infant,male,191,7.429593901,,,,,,,97.5
Johor,2021-01-01,infant,both,343,6.861372274,,,,,,,97.5
Johor,2022-01-01,infant,female,145,6.2,100,99.85,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,neonatal,female,88,3.7,99.6,100,99.6,8517,0.366,4.6,97.49166667
Johor,2022-01-01,neonatal,male,114,4.6,99.6,100,99.6,8517,0.366,4.6,97.49166667
Johor,2022-01-01,neonatal,both,202,4.2,99.6,100,99.6,8517,0.366,4.6,97.49166667
Johor,2022-01-01,infant,female,145,6.2,99.6,100,99.6,8517,0.366,4.6,97.49166667
Johor,2022-01-01,infant,male,178,7.2,99.6,100,99.6,8517,0.366,4.6,97.49166667
Johor,2022-01-01,infant,both,323,6.7,99.6,100,99.6,8517,0.366,4.6,97.49166667
Johor,2022-01-01,neonatal,female,88,3.7,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,neonatal,male,114,4.6,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,neonatal,both,202,4.2,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,infant,female,145,6.2,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,infant,male,178,7.2,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,infant,both,323,6.7,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,neonatal,female,88,3.7,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,neonatal,male,114,4.6,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,neonatal,both,202,4.2,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,infant,female,145,6.2,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,infant,male,178,7.2,100,100,100,8517,0.366,4.6,97.49166667
Johor,2022-01-01,infant,both,323,6.7,100,100,100,8517,0.366,4.6,97.49166667
